genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
GCA_000615245.1_ASM61524v1_genomic.fna	9.472397671698268e-05	5.99691363388092e-05		2934843.0	63.0	2.0	0	0.0128426143298487	7.512687972434555e-06	0.0	8.363777360742564e-05		0.0	0.0		False					0.0	0.0	0.0	0.0	3	4	0.9845890410958904	0.0	20
GCA_001311425.1_ASM131142v1_genomic.fna	0.0031976250581091	0.0012128578886104	0.001812597419746	3009421.0	108.0	14.0	0	0.1455214691488534	8.418793471148483e-05	0.0001737875823954	0.00281952059085	0.0	0.982791586998088	0.982791586998088		False					9.0	9.0	9.0	0.0	54	57	0.9886998040655506	9.0	127
GCA_001311745.1_ASM131174v1_genomic.fna	0.0778074831044016	0.0079381034963067	0.0067690465807647	2501983.0	141.0	22.0	0	2.082564423417521	0.0013240906916002	0.0026798743236864	0.0663970214111036	0.0021837315961218	0.9886651752423564	0.992841163310962		False	63.0	43.95238095238095	0.7842228649252794	1.0	76.0	48.0	47.0	85.0	1035	1074	0.9795295335938968	132.0	2335
GCA_001311765.1_ASM131176v1_genomic.fna	0.10375486998804	0.0024472723377768	0.0071956538257345	2025929.0	114.0	8.0	0	4.594757893500766	0.0032464467349226	0.0011155376126211	0.0875441243981152	0.0068814018115152	0.9853982300884956	0.9884955752212388		False	97.0	74.24742268041237	0.3960753519713831	0.9517860884896142	33.0	26.0	24.0	41.0	1166	1513	0.9490018085045608	65.0	3690
GCA_001435375.1_ASM143537v1_genomic.fna	0.1887920621342164	0.0261411902189311	0.0009319551969276	1475258.0	31.0	23.0	0	2.1176097475177333	0.0017471355631872	0.0096003546498307	0.1535493609009204	0.0002672482973001	0.9821365529901857	0.982277766010026		False	10.0	36.4	0.284925567052842	1.0	253.0	251.0	251.0	27.0	1562	2402	0.9602513070949552	278.0	5543
GCA_002299975.1_ASM229997v1_genomic.fna	0.724579271647508	0.0685126774996955	0.004250402295767	1190495.0	150.0	93.0	0	7.461590267925275	0.0069264379440958	0.0096968067904527	0.472603951161468	0.0013630338521272	0.9907311157311156	0.9934164934164934		False	240.0	58.45	0.3357146211738881	0.9876277278496968	107.0	76.0	77.0	98.0	4702	6498	0.9356184754160752	175.0	14672
GCA_002418005.1_ASM241800v1_genomic.fna	0.006513518294646	0.0017807798286746	0.0026542137028167	2040679.0	99.0	6.0	0	0.2344656241702173	0.0001649335969042	0.0003807556210457	0.0057349288054902	0.0	0.9755469755469754	0.9794079794079792		False					19.0	16.0	16.0	4.0	82	156	0.961570818604337	20.0	416
GCA_002418055.1_ASM241805v1_genomic.fna	0.0020276239758989	0.0009328716533229	0.0	1093398.0	56.0	2.0	0	0.0863138275162643	8.297116969249537e-05	0.0001326141075802	0.0017887901751043	0.0	1.0	1.0		False					0.0	0.0	0.0	0.0	14	14	0.9890448333961508	0.0	31
GCA_003482405.1_ASM348240v1_genomic.fna	0.0007105495967024	0.0004729901749169		2348886.0	347.0	2.0	0	0.0352659670646124	2.3358095419632616e-05	0.0	0.0006272185100699		0.0	0.0		False					0.0	0.0	0.0	0.0	11	14	0.9686054473726816	0.0	29
GCA_003666485.1_ASM366648v1_genomic.fna	0.0549021431196025	0.0149005157771495	0.0005950954126516	3097074.0	5.0	4.0	0	1.2233329768588923	0.0006952469414211	0.0026835006202628	0.0473222663444227	4.247438833557379e-05	0.9886896883648176	0.9886896883648176		False	1.0	1.0	0.9999999999999996	1.0	94.0	94.0	94.0	2.0	972	1141	0.9793094547531056	96.0	2561
GCA_004556255.1_ASM455625v1_genomic.fna	1.0701329470377994	0.002287311816311	0.0039711253512413	1477280.0	211.0	11.0	0	41.80225192275507	0.0348948851740055	0.0012231939781219	0.6112922069184981	0.0031791880312442	0.9955727725511898	0.9983397897066962		False	41.0	37.02439024390244	0.8448775088515651	0.9410983808007024	8.0	3.0	3.0	18.0	8082	8202	0.9539998385787104	21.0	17613
GCA_009809575.1_ASM980957v1_genomic.fna	0.1622674656694862	0.1314482780318711	0.0003238866324367	1970623.0	6.0	6.0	0	0.4733374018845747	0.0003372884193444	0.0005013642893643	0.1334904704922618	0.0	0.9949392712550608	0.9949392712550608		False					5.0	5.0	5.0	0.0	1705	1755	0.9933482538688356	5.0	3580
GCA_014651235.1_ASM1465123v1_genomic.fna	0.0036849232904011	0.0010212986868063	0.0	1648881.0	58.0	3.0	0	0.1442367562940004	0.0001127235009817	0.0003123330307038	0.0032484994363516	0.0	0.9922330097087378	0.9922330097087378		False					4.0	4.0	4.0	0.0	34	47	0.93498763594	4.0	146
GCA_900112995.1_IMG-taxon_2597490368_annotated_assembly_genomic.fna	0.3051659239619437	0.0133488085667484	0.0179635243757902	2817405.0	50.0	15.0	0	4.321186338869664	0.0025789952202779	0.010261570487736	0.2362093233958663	0.0176159714142308	0.9773788523399398	0.989035315277922		False	5433.0	51.01711761457758	0.2088956638818488	0.9394988473336056	654.0	317.0	307.0	1349.0	4843	9697	0.940483723518628	1656.0	23181
GCA_900540605.1_UMGS258_genomic.fna	7.325058580233212e-05	7.325058580233212e-05		2470970.0	35.0	2.0	0	0.008570489508337	5.459941730294431e-06	0.0	6.467817554012267e-05		0.0	0.0		False					0.0	0.0	0.0	0.0	2	68	0.9418441919950946	0.0	223
GCA_900554745.1_UMGS1753_genomic.fna	0.0017694844983784	0.0003749493856746	0.0044045348616011	1301509.0	201.0	1.0	0	0.0964547122880095	8.588412092921913e-05	0.0002205132657553	0.0015612348150277	0.0	0.9756097560975608	0.9756097560975608		False					7.0	7.0	7.0	0.0	12	15	0.9690337841980828	7.0	35
GCA_900557215.1_UMGS2022_genomic.fna	3.8021530864362743	0.0670332372577129	0.0063572733947977	1195586.0	44.0	24.0	0	41.52921418379954	0.03812129884155	0.0466633098748228	0.9651708700675754	0.0056356346304339	0.9801577343609966	0.9852303280157736		False	4037.0	96.52216992816447	0.5691853016020648	0.9801605494720538	1107.0	824.0	811.0	893.0	24027	36081	0.969751716340462	1704.0	82204
GCF_000014425.1_ASM1442v1_genomic.fna	0.9761877362275386	0.0449898646508583	0.0014456223650363	1894360.0	1.0	1.0	0	7.597111927855549	0.0055200156492867	0.0293022445575286	0.5776723190367342	0.0013177606242537	0.9884703381433642	0.9892990325893098		False	75.0	26.04	0.7011764246014813	0.9204949889036114	640.0	594.0	580.0	142.0	10211	13152	0.9757774209694532	722.0	29054
GCF_000014445.1_ASM1444v1_genomic.fna	0.0021799213108625	0.0008392094858612	0.0	2075763.0	2.0	2.0	0	0.0854991872985423	5.934922557139403e-05	9.442311092354897e-05	0.0019230191423134	0.0	0.9897959183673468	0.9897959183673468		False					2.0	2.0	2.0	0.0	23	32	0.9611781317671914	2.0	86
GCF_000016825.1_ASM1682v1_genomic.fna	12.666648329830998	0.481189907272289	0.0034847545442574	1999618.0	1.0	1.0	0	32.271690541209416	0.0228228578960303	0.3352810386783876	0.999986114292375	0.0028939827850211	0.985457181467527	0.988191231351632		False	9266.0	77.75998273257069	0.5093816343271357	0.9821228324225	9750.0	7917.0	7864.0	5461.0	132719	148997	0.9805803861110168	13325.0	316652
GCF_000092505.1_ASM9250v1_genomic.fna	0.0325147124803797	0.0022371439161056	0.0005365153942727	2101787.0	6.0	5.0	0	2.7837350308983746	0.0019206917076261	0.0002635852253344	0.0283022611271696	0.0006639790626402	0.9909747292418772	0.9909747292418772		False					5.0	5.0	5.0	0.0	406	429	0.969526762901242	5.0	925
