genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
GCA_001311765.1_ASM131176v1_genomic.fna	0.0005538200006021	0.0004723758828665		2025929.0	114.0	2.0	0	0.0269175074752733	1.901868526717464e-05	0.0	0.0004889035082435		0.0	0.0		False					0.0	0.0	0.0	0.0	5	5	0.9795617816091954	0.0	35
GCA_001435375.1_ASM143537v1_genomic.fna	0.0226062153196254	0.0149045116176288	0.0010054391973158	1475258.0	31.0	19.0	0	0.2282969438569493	0.0001883565704431	0.0005646469973387	0.0197633806324367	0.0	0.9951980792316928	0.9951980792316928		False					4.0	4.0	4.0	0.0	126	317	0.9494923082850404	4.0	753
GCA_002299975.1_ASM229997v1_genomic.fna	0.0040067366935602	0.0018504907622459	0.000975609734291	1190495.0	150.0	3.0	0	0.1170234835778941	0.0001086304484566	0.0002755156468527	0.0035316973348914	0.0	1.0	1.0		False					0.0	0.0	0.0	0.0	17	20	0.9543661060447824	0.0	45
GCA_004556255.1_ASM455625v1_genomic.fna	0.0010993176648976	0.0002795678544351	0.0	1477280.0	211.0	1.0	0	0.0745706285300028	6.224864451600021e-05	0.0001827683309866	0.0009702265236917	0.0	0.9592592592592591	0.9592592592592591		False					11.0	11.0	11.0	0.0	6	7	0.9471714240726996	11.0	18
GCA_900112995.1_IMG-taxon_2597490368_annotated_assembly_genomic.fna	0.6791845687787166	0.0097600451479286	0.0220304598550362	2817405.0	50.0	7.0	0	10.348097979183004	0.0061760112002626	0.00768721571801	0.4510346609864885	0.0208772996464666	0.978068150337058	0.9899344353125864		False	19570.0	138.78666326009198	0.1964965554623436	0.9222187240527824	475.0	218.0	208.0	1261.0	6830	9117	0.9486332963554646	1469.0	21376
GCA_900557215.1_UMGS2022_genomic.fna	0.0261135543574447	0.0237523691311205		1195586.0	44.0	29.0	0	0.1779956551350067	0.0001633892115528	0.0	0.0227944581844591		0.0	0.0		False					0.0	0.0	0.0	0.0	114	124	0.9792522340711772	0.0	271
GCF_000014425.1_ASM1442v1_genomic.fna	0.0029323887751008	0.0022751747291961		1894360.0	1.0	1.0	0	0.0700125368903816	5.087068651235015e-05	0.0	0.0025859499444531		0.0	0.0		False					0.0	0.0	0.0	0.0	20	24	0.9744306438019078	0.0	56
GCF_000014445.1_ASM1444v1_genomic.fna	0.0002514737954188	0.0002514737954188		2075763.0	2.0	2.0	0	0.0158574588243773	1.1007448497385972e-05	0.0	0.000222026709776		0.0	0.0		False					0.0	0.0	0.0	0.0	2	2	0.9944941109692068	0.0	5
GCF_000016825.1_ASM1682v1_genomic.fna	0.0503056083711989	0.0309759164000324	0.0028011334434121	1999618.0	1.0	1.0	0	0.3457547744031246	0.0002445211871686	0.000994189890269	0.0434477374112804	0.0	0.9969818913480883	0.9974849094567404		False					6.0	5.0	5.0	6.0	364	395	0.9860984518152172	11.0	834
GCF_000146325.1_ASM14632v1_genomic.fna	0.0007401585421655	0.0004709631892082		1942827.0	4.0	1.0	0	0.0375683181758264	2.6958407477701783e-05	0.0	0.0006533464689195		0.0	0.0		False					0.0	0.0	0.0	0.0	5	5	0.9965176069209212	0.0	14
