genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
GCA_001311745.1_ASM131174v1_genomic.fna	0.0002957653988856	0.0002561967847103		2501983.0	141.0	2.0	0	0.0194701531471103	1.2379088135873812e-05	0.0	0.0002611267476905		0.0	0.0		False					0.0	0.0	0.0	0.0	3	87	0.9684237767648216	222	0.0
GCA_001311765.1_ASM131176v1_genomic.fna	0.0003593413194638	0.0003593413194638		2025929.0	114.0	3.0	0	0.0190604126179291	1.346721976304376e-05	0.0	0.0003172480512777		0.0	0.0		False					0.0	0.0	0.0	0.0	3	17	0.9577648863640952	59	0.0
GCA_001435375.1_ASM143537v1_genomic.fna	8.849740858887056	0.2239493024271009	0.001728357771694	1475258.0	31.0	25.0	0	53.32148843628452	0.0439929353547373	0.1588481472393303	0.9995960910910804	0.0017866831220503	0.9607326044840446	0.9619871811284362		False	1864.0	107.83476394849784	0.8284132891407513	0.9976486930894736	9202.0	8908.0	8883.0	743.0	47906	129934	0.9488757740748016	298340	9626.0
GCA_002299975.1_ASM229997v1_genomic.fna	0.0199874841977496	0.002519960184629	0.0100161106355728	1190495.0	150.0	3.0	0	0.7628675644199187	0.000708153979887	0.000677029302937	0.0174941180573974	0.0008345454232084	0.9826302729528535	0.9925558312655088		False	6.0	90.0	0.5595876427494083	1.0	14.0	6.0	4.0	14.0	89	158	0.9655162926850828	684	18.0
GCA_002418005.1_ASM241800v1_genomic.fna	0.0002807888942846	0.0002724583337212		2040679.0	99.0	1.0	0	0.017328703110244	1.218978408358576e-05	0.0	0.0002479058599161		0.0	0.0		False					0.0	0.0	0.0	0.0	2	4	0.9447557471264368	10	0.0
GCA_003666485.1_ASM366648v1_genomic.fna	0.0011294531548163	0.0009024647134681		3097074.0	5.0	3.0	0	0.0395972170159596	2.2503966246233284e-05	0.0	0.000996809990224		0.0	0.0		False					0.0	0.0	0.0	0.0	13	13	0.9794674761642356	29	0.0
GCA_004556255.1_ASM455625v1_genomic.fna	0.0277374634463338	0.0014587620491714	0.0002267756801981	1477280.0	211.0	1.0	0	0.8622660880438456	0.0007197860102687	0.0012915628723058	0.0241946805315437	0.0	0.960167714884696	0.960167714884696		False					76.0	76.0	76.0	0.0	148	165	0.9614297137019628	339	76.0
GCA_009809575.1_ASM980957v1_genomic.fna	0.0004369176651241	0.0003481132616436		1970623.0	6.0	2.0	0	0.0247933415023526	1.766711637893048e-05	0.0	0.0003857238877106		0.0	0.0		False					0.0	0.0	0.0	0.0	3	3	0.9922413793103448	10	0.0
GCA_014651235.1_ASM1465123v1_genomic.fna	0.0006828873642185	0.0004433309620281		1648881.0	58.0	2.0	0	0.0342017525413862	2.6729256711230985e-05	0.0	0.000602807780946		0.0	0.0		False					0.0	0.0	0.0	0.0	4	4	0.971449758991472	12	0.0
GCA_900112995.1_IMG-taxon_2597490368_annotated_assembly_genomic.fna	0.0044139908887788	0.0026496013175244	0.0460185178865989	2817405.0	50.0	5.0	0	0.098490537478816	5.878168759251357e-05	1.7036954218509554e-05	0.0038899683496782	0.0	0.9791666666666666	1.0		False					1.0	0.0	0.0	3.0	46	59	0.9627357083157568	146	3.0
GCA_900554745.1_UMGS1753_genomic.fna	0.0129949159014651	0.0074997560523976	0.0016494844992135	1301509.0	201.0	5.0	0	0.1806019836476176	0.0001608095886215	0.0002981154951675	0.011408929619385	0.0	0.9948453608247424	0.9948453608247424		False					2.0	2.0	2.0	0.0	63	63	0.9925811787431784	129	2.0
GCA_900557215.1_UMGS2022_genomic.fna	0.3147226548320238	0.2220124691992044	0.0058114969115634	1195586.0	44.0	40.0	0	0.6925628469259186	0.0006357306723255	0.0015732870742882	0.2426275239477495	0.0	0.9792663476874	0.981392876129718		False					39.0	35.0	35.0	7.0	1371	1536	0.9783315629944568	3261	42.0
