genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
GCA_001311745.1_ASM131174v1_genomic.fna	0.0003461254532904	0.0001526788951004		2501983.0	141.0	1.0	0	0.0299952305310785	1.907091328941001e-05	0.0	0.0003055820755391		0.0	0.0		False					0.0	0.0	0.0	0.0	3	3	0.9988505747126436	7	0.0
GCA_001311765.1_ASM131176v1_genomic.fna	0.0004225222107981	0.0004225222107981		2025929.0	114.0	2.0	0	0.020667579147123	1.460277046062432e-05	0.0	0.0003730175237925		0.0	0.0		False					0.0	0.0	0.0	0.0	3	4	0.9706716328247026	15	0.0
GCA_001435375.1_ASM143537v1_genomic.fna	1.1595937795287332	0.1341683963076289	0.0021567914957053	1475258.0	31.0	24.0	0	8.51714590487288	0.0070270778290008	0.0579729105010784	0.6408162946557001	0.0027294266283687	0.9672493422975738	0.9686875182695118		False	306.0	94.40849673202614	0.7511343918107091	1.0	2801.0	2678.0	2670.0	339.0	6180	15861	0.9511468396923572	36305	3009.0
GCA_002299975.1_ASM229997v1_genomic.fna	0.0188308224730049	0.0077135981251496	0.0038817235084798	1190495.0	150.0	12.0	0	0.3041414770911875	0.0002823281621819	0.0010382235960671	0.016490140452224	0.0	0.9983818770226536	0.9991909385113268		False					2.0	1.0	1.0	10.0	80	127	0.9371307897910665	365	11.0
GCA_002418005.1_ASM241800v1_genomic.fna	0.0002440364212107	0.0002440364212107		2040679.0	99.0	2.0	0	0.0137833311784903	9.695811045376436e-06	0.0	0.000215460944885		0.0	0.0		False					0.0	0.0	0.0	0.0	2	2	0.9925130922888772	8	0.0
GCA_003666485.1_ASM366648v1_genomic.fna	0.000452685341067	0.0002244053580896		3097074.0	5.0	2.0	0	0.0321157910155225	1.82521078865998e-05	0.0	0.0003996412783041		0.0	0.0		False					0.0	0.0	0.0	0.0	5	6	0.9535271579896326	17	0.0
GCA_004556255.1_ASM455625v1_genomic.fna	0.0003851673345608	0.0003851673345608		1477280.0	211.0	2.0	0	0.01990819851508	1.6618585584545212e-05	0.0	0.0003400449280307		0.0	0.0		False					0.0	0.0	0.0	0.0	2	5	0.9456478940460564	16	0.0
GCA_009809575.1_ASM980957v1_genomic.fna	0.0005876314241739	0.0003947990051876		1970623.0	6.0	1.0	0	0.0312016598122559	2.2233524072042272e-05	0.0	0.0005187439533523		0.0	0.0		False					0.0	0.0	0.0	0.0	4	5	0.9629310344827586	22	0.0
GCA_900112995.1_IMG-taxon_2597490368_annotated_assembly_genomic.fna	0.6856099850749182	0.0103566934821227	0.0213173618849712	2817405.0	50.0	8.0	0	10.513834987624154	0.0062749273124302	0.007507262889077	0.4541404751429644	0.0209775607343593	0.9761240603281168	0.988889414212094		False	18200.0	129.97087912087912	0.2037520947177873	0.9303416042049552	505.0	235.0	222.0	1253.0	6929	9284	0.9544297622180896	22354	1475.0
GCA_900557215.1_UMGS2022_genomic.fna	0.0382414983112883	0.028238035574187	0.0010491803044178	1195586.0	44.0	30.0	0	0.3113228793594458	0.0002857755137804	0.0005102100559892	0.0332034929029276	0.0	0.9721311475409836	0.9721311475409836		False					17.0	17.0	17.0	0.0	166	192	0.9754413706284888	457	17.0
GCF_000014425.1_ASM1442v1_genomic.fna	0.0526658079773643	0.0088430921261006	0.0010299102082469	1894360.0	1.0	1.0	0	0.837429842819489	0.0006084714667154	0.0038134251145505	0.0454391702848802	0.0	0.9922480620155038	0.9923864894795126		False	6.0	1.6666666666666667	1.000000000000001	1.0	56.0	55.0	53.0	7.0	359	381	0.985976686576064	852	60.0
